2024-10-18 03:37:52: ('7', 5.62, 18.18, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:37:52: 7, 5.62, 18.18, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:38:23: ('8', 5.63, 18.19, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:38:23: 8, 5.63, 18.19, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:38:54: ('9', 5.59, 18.18, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:38:54: 9, 5.59, 18.18, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:39:25: ('10', 5.65, 18.2, 10.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:39:25: 10, 5.65, 18.2, 10.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:40:25: ('1', 5.67, 18.18, 10.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:40:25: 1, 5.67, 18.18, 10.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:40:53: ('2', 5.59, 18.23, 10.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:40:53: 2, 5.59, 18.23, 10.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:41:24: ('3', 5.59, 18.19, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:41:24: 3, 5.59, 18.19, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:41:55: ('4', 5.57, 18.2, 8.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:41:55: 4, 5.57, 18.2, 8.4, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:42:26: ('5', 5.56, 18.13, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:42:26: 5, 5.56, 18.13, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:43:17: ('6', 5.57, 18.21, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:43:17: 6, 5.57, 18.21, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:43:48: ('7', 5.56, 18.19, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:43:48: 7, 5.56, 18.19, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:44:18: ('8', 5.61, 18.18, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 03:44:18: 8, 5.61, 18.18, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 03:44:49: ('9', 5.55, 18.19, 9.4, '18.10.24', '2024-10-17 14:54:07')
