2024-10-24 09:19:51: ('2', 5.55, 18.24, 10.6, ':', '2024-10-24 08:54:43')
2024-10-24 09:19:56: ('3', 5.7, 18.13, 11.6, ':', '2024-10-24 08:54:43')
2024-10-24 09:20:01: ('4', 5.57, 18.17, 11.7, ':', '2024-10-24 08:54:43')
2024-10-24 09:20:06: ('5', 5.63, 18.19, 12.0, ':', '2024-10-24 08:54:43')
2024-10-24 09:21:34: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:21:39: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:21:44: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:21:49: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:23:50: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:23:55: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:24:00: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:24:05: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:57:32: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:57:37: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:57:42: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 09:57:47: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 10:05:25: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 10:05:30: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 10:05:35: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 10:06:31: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:06:22')
2024-10-24 10:06:36: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:06:22')
